Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
02/05/19,24.7,,3.68,0,Looe,A9,A,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,B10,B,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,B7,B,36.5,76.5,26,1131.5,136.4,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,B8,B,36.5,76.5,26,680.68,-20.26,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,B9,B,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,C10,C,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,C7,C,36.5,76.5,26,760.86,66.96,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,C8,C,36.5,76.5,26,635.93,70.51,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,C9,C,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,D10,D,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,D7,D,36.5,76.5,26,983.26,72.54,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,D8,D,36.5,76.5,26,1168.21,42.8,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,D9,D,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,A10,A,36.5,83,26,,,no,1,10,30,60,100,95,yes,no,no,0,yes
05/28/19,28.29317204,29.99,3.4,1,Looe,A7,A,36.5,83,26,,,no,0,0,10,90,100,0,yes,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,A8,A,36.5,83,26,,,yes,0,0,100,0,100,5,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,A9,A,36.5,83,26,,,no,0,2,8,90,100,100,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,B10,B,36.5,83,26,,,no,0,5,40,55,100,80,yes,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,B7,B,36.5,83,26,,,yes,0,2,98,0,100,10,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,B8,B,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/28/19,28.29317204,29.99,3.4,1,Looe,B9,B,36.5,83,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
